,State,Year,GDP
733,Maine,2012,53679.7
734,Maryland,2012,332523.5
735,Massachusetts,2012,442916.9
736,Michigan,2012,422691.2
737,Minnesota,2012,298328.3
738,Mississippi,2012,100448.4
739,Missouri,2012,271535.1
740,Montana,2012,42340.9
741,Nebraska,2012,102725.9
742,Nevada,2012,129312.9
743,New Hampshire,2012,68498.1
744,New Jersey,2012,517195.9
745,New Mexico,2012,87925.2
746,New York,2012,1328233.5
747,North Carolina,2012,445095.3
748,North Dakota,2012,51832.6
749,Ohio,2012,545740.1
750,Oklahoma,2012,174874.4
751,Oregon,2012,174611.0
752,Pennsylvania,2012,647925.9
753,Rhode Island,2012,51583.0
754,South Carolina,2012,177618.1
755,South Dakota,2012,43901.5
756,Tennessee,2012,286341.5
757,Texas,2012,1421180.1
758,Utah,2012,129512.5
759,Vermont,2012,29241.3
760,Virginia,2012,445973.6
761,Washington,2012,400530.6
762,West Virginia,2012,70322.2
763,Wisconsin,2012,277107.1
764,Wyoming,2012,38855.4
765,Alabama,2013,191369.8
766,Alaska,2013,55354.3
767,Arizona,2013,273481.9
768,Arkansas,2013,110752.4
769,California,2013,2179229.0
770,Colorado,2013,286259.1
771,Connecticut,2013,236050.6
772,Delaware,2013,60235.8
773,District of Columbia,2013,112332.4
774,Florida,2013,794842.1
775,Georgia,2013,454908.9
776,Hawaii,2013,73063.2
777,Idaho,2013,60631.2
778,Illinois,2013,726125.0
779,Indiana,2013,307279.1
780,Iowa,2013,158480.8
781,Kansas,2013,141723.4
782,Kentucky,2013,181505.9
783,Louisiana,2013,228452.8
784,Maine,2013,53239.1
785,Maryland,2013,334268.9
786,Massachusetts,2013,444874.0
787,Michigan,2013,428737.6
788,Minnesota,2013,305486.4
789,Mississippi,2013,100331.2
790,Missouri,2013,274599.3
791,Montana,2013,42968.2
792,Nebraska,2013,104680.0
793,Nevada,2013,129720.9
794,New Hampshire,2013,69080.3
795,New Jersey,2013,523725.8
796,New Mexico,2013,86856.6
797,New York,2013,1329376.3
798,North Carolina,2013,452056.2
799,North Dakota,2013,52892.4
800,Ohio,2013,556210.5
801,Oklahoma,2013,177698.9
802,Oregon,2013,175933.8
803,Pennsylvania,2013,655929.2
804,Rhode Island,2013,51910.8
805,South Carolina,2013,180881.6
